A,B,Y
13.95,-6.6716,1
10.323,-3.777,1
11.956,-5.3886,1
11.998,-3.6449,1
17.331,-6.3507,1
11.534,-4.2207,1
14.226,-8.4824,1
13.059,-6.1559,1
14.173,-4.5083,1
12.964,-4.7185,1
17.23,-6.149,1
11.275,-6.5191,1
12.883,-4.2183,1
15.695,-7.2348,1
17.294,-5.2939,1
14.385,-6.4603,1
17.326,-4.721,1
13.728,-6.4938,1
10.935,-4.1535,1
13.604,-3.2465,1
12.793,-5.1283,1
11.558,-3.1899,1
13.779,-7.5906,1
14.182,-7.1898,1
13.494,-5.3527,1
19.724,-6.427,1
14.252,-5.7924,1
14.361,-6.6576,1
16.814,-7.1882,1
15.848,-4.7733,1
16.179,-5.2536,1
16.304,-7.0483,1
12.245,-5.1284,1
16.29,-8.0995,1
17.156,-6.7131,1
14.462,-4.754,1
15.508,-6.2269,1
15.527,-5.9916,1
13.87,-3.4583,1
16.465,-6.9649,1
11.879,-5.345,1
13.605,-5.3629,1
14.657,-6.2159,1
15.875,-6.3561,1
13.417,-5.5395,1
15.684,-6.8776,1
13.94,-4.1442,1
17.532,-8.5305,1
16.303,-7.4069,1
12.664,-3.6175,1
11.581,-4.8474,1
12.639,-2.5621,1
14.005,-5.4793,1
14.254,-6.4303,1
12.912,-6.2718,1
18.737,-7.2943,1
17.42,-5.5305,1
13.884,-4.62,1
19.893,-5.5324,1
13.828,-8.5358,1
17.695,-6.5162,1
16.205,-4.5608,1
13.277,-7.0601,1
19.093,-9.8615,1
15.292,-6.3299,1
13.396,-7.0664,1
13.838,-4.9191,1
15.07,-6.3119,1
13.321,-4.7402,1
12.141,-4.1811,1
16.813,-9.3205,1
15.879,-8.2291,1
14.751,-7.6624,1
13.472,-5.2394,1
11.813,-4.7174,1
15.076,-5.0215,1
15.06,-3.5871,1
14.752,-3.9742,1
15.312,-5.3423,1
14.302,-6.9744,1
16.462,-5.3981,1
12.793,-6.7893,1
12.909,-4.9533,1
15.941,-4.0998,1
17.325,-6.0968,1
15.056,-6.0212,1
16.312,-6.3995,1
17.635,-8.4815,1
13.041,-4.8861,1
16.251,-6.4571,1
13.459,-7.0946,1
13.265,-6.5554,1
16.076,-6.3473,1
13.251,-5.0581,1
18.056,-7.6608,1
11.436,-4.8886,1
15.492,-5.1081,1
16.367,-5.1461,1
15.121,-5.6431,1
14.783,-6.2227,1
15.592,-5.4923,1
10.93,-4.2145,1
13.013,-4.9362,1
13.441,-6.792,1
20.534,-10.709,1
15.206,-4.6849,1
16.607,-5.1629,1
12.373,-5.2159,1
7.277,-3.4595,1
16.604,-5.9214,1
14.199,-5.4824,1
15.05,-3.5035,1
13.608,-4.4868,1
19.453,-7.0541,1
13.384,-6.6662,1
16.727,-7.4838,1
13.938,-3.6723,1
13.358,-5.7433,1
15.313,-6.5453,1
16.055,-7.7783,1
13.253,-6.8773,1
18.297,-5.5996,1
14.062,-6.1234,1
15.821,-6.1119,1
15.043,-7.268,1
17.486,-4.7188,1
15.467,-7.4345,1
15.787,-7.3501,1
19.931,-7.5259,1
14.326,-7.337,1
13.296,-5.4597,1
15.438,-7.6612,1
13.383,-5.8103,1
16.606,-8.1885,1
15.661,-5.9434,1
15.272,-3.5482,1
13.837,-7.4452,1
10.992,-5.7835,1
12.465,-4.5331,1
11.501,-4.1245,1
15.026,-6.9431,1
14.653,-5.3135,1
14.763,-7.1101,1
17.881,-6.2686,1
14.164,-3.2565,1
15.355,-6.6123,1
16.238,-8.2991,1
14.617,-6.9707,1
13.63,-5.3211,1
12.039,-6.2141,1
21.459,-8.4091,1
14.896,-6.417,1
11.476,-3.5614,1
14.911,-5.0486,1
12.134,-4.36,1
16.035,-7.4091,1
15.805,-6.0797,1
11.71,-2.9797,1
13.493,-6.4117,1
10.444,-3.7943,1
13.75,-7.9748,1
12.017,-5.729,1
16.151,-7.164,1
11.711,-5.9908,1
18.742,-8.239,1
13.417,-4.4458,1
14.774,-6.4128,1
16.312,-7.2942,1
14.356,-7.4802,1
11.936,-5.4246,1
11.73,-3.6538,1
15.518,-5.8511,1
12.288,-3.9868,1
18.205,-7.8497,1
11.489,-3.8927,1
13.809,-3.1777,1
12.248,-3.797,1
13.699,-4.2679,1
19.241,-7.1593,1
15.988,-7.3911,1
11.29,-5.2688,1
15.593,-8.0389,1
17.197,-10.43,1
12.451,-4.2951,1
15.135,-5.8914,1
14.987,-5.7879,1
12.158,-3.9919,1
15.563,-6.0531,1
13.319,-4.2664,1
17.211,-9.8806,1
16.428,-6.1523,1
15.016,-5.7788,1
13.386,-5.5819,1
15.077,-6.961,1
15.82,-3.236,1
10.864,-4.7657,1
17.47,-7.5853,1
16.012,-8.9614,1
13.71,-6.3375,1
12.335,-6.8506,1
16.241,-5.7283,1
17.003,-8.1283,1
14.468,-6.4904,1
13.292,-5.3863,1
19.156,-8.9664,1
19.238,-9.3788,1
19.602,-8.8071,1
15.924,-5.0055,1
15.722,-4.9074,1
11.343,-4.598,1
13.667,-2.4335,1
14.224,-6.0931,1
12.105,-0.18905,1
17.001,-6.0626,1
14.328,-6.8619,1
18.58,-7.5121,1
11.221,-3.7699,1
15.12,-9.7873,1
17.193,-4.129,1
12.357,-4.4523,1
18.738,-8.2433,1
10.629,-5.1928,1
10.502,-6.2107,1
14.103,-5.2978,1
11.76,-4.2384,1
9.4611,-2.6043,1
15.916,-4.9739,1
15.224,-6.2485,1
14.075,-4.4115,1
15.233,-6.0409,1
13.376,-5.4094,1
16.817,-7.9925,1
16.297,-6.5789,1
13.965,-4.6627,1
12.696,-3.5629,1
12.309,-4.0374,1
14.259,-5.7284,1
13.854,-4.0675,1
13.991,-6.7921,1
15.158,-5.644,1
14.51,-3.8406,1
14.298,-5.6445,1
13.119,-6.2136,1
13.774,-5.1818,1
20.787,-10.246,1
13.247,-5.8195,1
15.544,-6.0993,1
16.384,-5.3585,1
15.992,-8.4968,1
15.873,-5.4174,1
15.489,-6.1205,1
15.421,-5.4211,1
11.639,-5.1832,1
11.979,-3.6439,1
13.193,-6.6977,1
15.567,-4.3795,1
13.077,-6.9958,1
17.942,-8.2576,1
20.461,-10.494,1
12.021,-4.01,1
19.013,-7.6011,1
12.708,-5.7989,1
10.584,-2.3395,1
4.6028,8.0725,1
4.6114,9.7239,1
7.288,14.085,1
5.3265,11.392,1
4.7385,11.327,1
3.2799,7.4152,1
7.5951,12.873,1
7.2697,9.5396,1
1.1127,8.5271,1
2.72,7.0668,1
3.8038,10.802,1
3.5579,8.2682,1
6.6124,8.5109,1
0.1865,4.4023,1
7.3255,11.019,1
1.637,7.5608,1
7.5148,10.302,1
4.7982,10.371,1
4.0055,7.5914,1
1.2696,7.4514,1
0.87726,7.9257,1
-0.64759,7.1729,1
4.1649,10.221,1
2.1211,8.1966,1
8.5766,13.015,1
3.7116,11.497,1
6.4424,10.225,1
8.3308,10.391,1
3.0069,7.3739,1
4.9872,8.3429,1
7.1203,10.404,1
0.50343,10.894,1
8.065,11.602,1
7.0424,9.283,1
9.2205,12.219,1
4.7886,6.658,1
3.5413,7.7424,1
5.9414,8.6976,1
1.727,4.5369,1
3.6125,7.9819,1
5.0249,9.558,1
5.8857,9.3729,1
3.5021,8.0143,1
9.1861,13.806,1
5.1658,6.947,1
1.6784,9.0968,1
4.2735,6.4684,1
7.4067,12.459,1
8.0647,13.042,1
7.14,11.646,1
6.6258,9.6078,1
4.0322,10.35,1
5.96,10.709,1
9.2219,9.1484,1
5.8359,11.153,1
5.7081,11.765,1
5.8032,9.1269,1
9.8719,10.798,1
5.4541,8.6487,1
3.9094,8.144,1
4.5241,13.829,1
3.7067,12.832,1
3.7138,9.0828,1
6.5616,9.0243,1
3.3322,10.038,1
7.1245,10.194,1
3.6005,6.7208,1
6.489,13.565,1
0.45229,9.1755,1
0.60633,6.79,1
3.0637,6.7059,1
4.1028,11.097,1
3.3842,10.781,1
5.6762,9.6294,1
3.6509,9.7209,1
6.3124,8.9664,1
2.3394,10.234,1
12.18,13.429,1
8.7607,13.949,1
1.0904,7.7274,1
3.6713,8.1278,1
4.9637,10.286,1
5.7161,14.717,1
1.6708,10.989,1
7.6481,10.739,1
2.7581,7.1724,1
3.4144,8.9809,1
2.1682,6.9716,1
4.7021,10.957,1
6.9471,8.8839,1
3.4303,9.5148,1
7.2424,11.368,1
9.9272,11.18,1
3.0989,7.7476,1
6.3023,9.8981,1
6.7641,7.9168,1
1.139,9.7096,1
7.7515,9.9796,1
2.8817,7.0983,1
5.2042,10.296,1
6.9352,11.741,1
1.777,9.7393,1
7.9834,9.851,1
8.9113,13.568,1
-1.964,5.1919,1
6.1655,8.8963,1
4.8545,10.259,1
2.5941,8.3499,1
9.7835,8.9978,1
3.9736,12.107,1
9.3461,12.399,1
9.1331,11.419,1
7.5694,16.859,1
7.113,9.6631,1
7.3611,11.396,1
4.7174,13.888,1
7.5012,12.485,1
4.0758,14.426,1
5.6073,9.7146,1
3.1699,6.1085,1
6.1686,7.012,1
3.1816,8.0267,1
5.848,6.2668,1
7.7282,12.139,1
7.3483,8.7184,1
8.8892,9.9238,1
4.0338,8.5715,1
7.556,12.494,1
1.642,9.3805,1
6.1745,10.575,1
1.6671,11.792,1
4.2164,9.1335,1
5.9432,9.7447,1
5.2224,9.4264,1
-2.1397,7.2251,1
6.8214,11.612,1
7.3355,9.4266,1
5.7129,10.743,1
8.347,11.095,1
3.6694,9.628,1
1.7724,5.7791,1
8.6119,12.152,1
4.1951,9.3799,1
0.68253,6.1544,1
6.6516,8.9347,1
2.8531,12.039,1
6.5003,7.6834,1
5.9184,10.097,1
6.6995,10.173,1
4.788,10.279,1
6.9439,10.662,1
4.7498,9.2954,1
7.752,13.016,1
6.1059,10.338,1
3.4001,7.9125,1
4.8893,10.379,1
2.801,5.9139,1
3.4968,6.5783,1
2.7703,9.8469,1
10.159,10.68,1
5.9327,10.84,1
2.3264,3.48,1
4.9966,11.688,1
7.3988,9.0529,1
2.3698,13.473,1
5.1843,14.527,1
3.8291,6.7002,1
5.1,7.3675,1
1.6637,9.6661,1
5.6707,13.871,1
5.9748,12.461,1
3.3275,11.577,1
5.8049,7.6049,1
8.2664,10.33,1
4.3254,12.946,1
3.9391,9.6535,1
5.0566,12.53,1
7.1993,13.607,1
6.5095,12.112,1
7.8959,10.603,1
2.1089,7.0168,1
0.15472,8.1264,1
4.8996,11.019,1
6.3189,11.25,1
3.6259,9.677,1
10.246,11.669,1
7.0781,11.95,1
7.9338,8.1105,1
0.70384,7.8344,1
7.7092,11.032,1
-1.0482,6.7988,1
6.3644,10.273,1
6.905,11.54,1
5.8414,12.024,1
5.1294,6.6598,1
3.7411,9.3083,1
9.2654,12.012,1
1.9771,11.631,1
8.5676,11.681,1
1.1295,7.4699,1
4.1946,10.172,1
7.27,10.864,1
6.2598,10.095,1
3.955,8.4213,1
2.0021,10.897,1
4.6824,11.356,1
8.6425,13.425,1
7.3331,11.878,1
1.2867,8.9864,1
2.9535,9.5935,1
8.2291,11.616,1
2.9642,8.3481,1
3.291,5.6691,1
6.9472,9.4952,1
7.9836,11.12,1
7.9666,13.916,1
3.8045,6.2553,1
2.7929,7.2171,1
1.2478,4.8897,1
2.5085,10.672,1
1.4309,7.1468,1
2.7051,12.051,1
3.7627,10.083,1
3.3262,8.3309,1
4.1545,13.908,1
3.8318,10.297,1
4.3508,9.1004,1
6.8974,12.126,1
4.6732,9.3996,1
4.8175,9.3283,1
5.3262,10.108,1
2.2719,9.2035,1
6.2652,11.499,1
4.4663,10.835,1
5.4617,11.282,1
9.5068,14.389,1
3.267,10.964,1
3.8205,7.3229,1
5.687,11.809,1
9.2513,12.263,1
10.484,10.626,1
4.6995,9.155,1
4.1106,9.3524,1
9.513,9.596,1
2.1937,10.859,1
4.0018,11.715,1
6.6246,10.189,1
8.3775,10.569,1
8.5415,10.103,1
2.8133,10.196,1
2.5917,7.614,1
4.9047,12.383,1
6.4553,12.533,1
3.7367,5.2239,1
8.1656,12.369,1
2.707,9.6199,1
6.9659,9.9506,1
1.8561,6.8639,1
7.2482,14.609,1
3.5184,11.823,1
6.9619,10.937,1
3.1616,10.009,1
7.916,11.578,1
4.5217,9.2711,1
0.96367,12.167,1
12.229,10.527,1
5.9811,11.021,1
2.5299,8.3586,1
7.6995,13.935,1
1.1048,9.9377,1
4.7691,11.125,1
5.2851,6.3613,1
4.9176,10.83,1
2.63,12.748,1
9.545,9.5561,1
5.7966,11.07,1
7.4007,9.6918,1
4.4901,7.34,1
3.2208,5.8308,1
2.1652,7.3897,1
7.6859,11.605,1
4.2105,9.0958,1
2.5377,11.158,1
6.8343,11.309,1
6.4641,13.288,1
6.3605,9.5829,1
9.2612,15.035,1
7.3532,10.998,1
2.8003,9.0374,1
2.7999,10.87,1
6.2292,9.4906,1
7.7635,9.2975,1
8.5267,12.866,1
5.046,13.2,1
9.4875,11.059,1
-1.554,12.388,1
6.0335,10.593,1
5.8825,10.55,1
10.659,11.769,1
8.7376,11.245,1
3.314,9.6783,1
4.401,6.6415,1
8.203,12.683,1
2.2345,8.473,1
2.5985,10.573,1
7.4052,10.639,1
5.6104,12.841,1
2.4555,9.1115,1
3.187,9.6414,1
3.6715,11.943,1
2.5645,10.562,1
5.0292,9.4267,1
3.245,8.4083,1
10.613,13.654,1
5.863,11.743,1
6.1314,8.9912,1
4.2563,9.0833,1
0.066111,8.8415,1
3.5234,9.1893,1
8.0977,13.168,1
1.2966,9.5666,1
2.3293,8.4347,1
5.476,12.087,1
8.593,16.217,1
3.4756,9.3042,1
9.0449,10.54,1
3.2264,9.6218,1
5.0035,9.825,1
5.3932,10.513,1
3.7911,8.2067,1
4.3726,9.5305,1
5.1323,9.6375,1
5.1062,10.097,1
5.2561,8.1816,1
5.3344,7.9972,1
3.1028,8.5105,1
6.141,13.088,1
6.4604,12.827,1
3.7851,10.242,1
2.1143,8.6546,1
8.8832,12.043,1
5.9735,10.651,1
9.904,15.238,1
5.7532,11.019,1
2.3986,5.9026,1
5.8136,11.278,1
7.0645,13.153,1
2.5161,8.4212,1
5.8563,7.7475,1
3.8389,12.134,1
5.365,12.581,1
5.7812,8.8099,1
5.1298,9.4195,1
5.7737,10.518,1
4.0061,8.8114,1
10.049,10.242,1
6.385,8.978,1
3.8783,10.158,1
4.8558,7.6217,1
5.6107,14.621,1
8.4822,10.705,1
3.9098,13.034,1
9.2132,16.106,1
5.5728,10.853,1
6.4663,9.6246,1
5.9441,8.0678,1
5.9122,8.3633,1
6.1489,12.411,1
5.2281,11.815,1
8.098,9.9294,1
8.0253,8.8041,1
6.7232,9.6649,1
8.3409,10.679,1
5.775,11.952,1
2.3147,11.377,1
10.232,9.5227,1
3.2525,6.9488,1
3.1983,9.3036,1
8.9077,10.04,1
5.0266,9.8204,1
2.3906,10.351,1
5.99,10.953,1
6.2229,11.615,1
5.6157,12.786,1
5.1198,12.358,1
8.0653,12.885,1
2.5778,8.3712,1
7.3182,9.3587,1
4.9957,12.106,1
2.8769,9.815,1
8.272,9.0852,1
4.6339,8.1379,1
7.4875,8.9279,1
3.7683,11.626,1
6.7573,8.7675,1
5.9496,5.9992,1
3.2814,10.821,1
6.0394,12.237,1
4.2652,11.409,1
-0.15421,7.2893,1
6.3817,11.314,1
6.4306,9.7529,1
8.7298,11.812,1
1.7595,7.2779,1
4.3163,10.71,1
2.739,9.2175,1
5.9187,10.482,1
4.3967,11.727,1
3.4826,9.0201,1
3.1359,8.2562,1
6.2152,13.37,1
9.4454,10.941,1
6.2797,10.163,1
6.4408,11.258,1
8.8662,11.253,1
5.2809,8.2255,1
4.0175,9.1706,1
9.8883,10.956,1
4.4579,7.9884,1
4.541,10.596,1
6.0798,12.622,1
4.5545,11.006,1
9.758,12.496,1
6.9098,10.519,1
7.3918,9.2768,1
6.9648,9.3379,1
10.117,10.383,1
7.3571,12.274,1
8.4859,13.316,1
7.2835,8.9376,1
4.2262,8.4861,1
4.9568,9.7524,1
-0.54786,9.1266,1
5.7479,6.0033,1
5.5758,7.9665,1
7.8513,9.3425,1
3.6228,10.205,1
4.7732,10.304,1
0.90838,12.997,1
-0.85712,9.2436,1
8.7424,9.1626,1
4.6648,9.7687,1
6.5864,8.4927,1
5.7305,10.034,1
3.7844,8.1257,1
3.3056,9.8507,1
5.09,11.436,1
3.2396,7.9754,1
3.6548,9.6405,1
8.4905,10.446,1
4.1626,9.6003,1
7.75,11.351,1
4.2175,9.9019,1
3.8477,11.295,1
4.722,11.423,1
5.6542,11.928,1
5.0822,8.8057,1
4.9544,9.1274,1
3.7598,10.204,1
-1.8559,9.3825,1
4.8155,11.733,1
8.4465,11.812,1
3.6711,5.5949,1
5.3983,5.932,1
6.0725,10.804,1
9.3569,11.949,1
4.4936,13.423,1
4.4294,11.692,1
5.2882,10.567,1
5.9086,11.827,1
3.6213,8.6812,1
2.1301,9.9711,1
4.2307,7.8312,1
7.4339,9.437,1
3.0404,9.3463,1
1.0022,10.109,1
3.6348,10.784,1
8.7794,12.752,1
8.7402,11.177,1
6.2147,9.4029,1
0.80814,10.266,1
4.1957,7.6357,1
4.918,9.2092,1
4.5356,10.693,1
3.1562,6.4171,1
2.5028,11.616,1
5.4687,8.0641,1
3.1898,11.1,1
3.7992,12.282,1
4.1997,8.1257,1
3.6015,8.8804,1
8.5837,14.326,1
3.9971,11.569,1
6.3333,8.95,1
3.1891,6.502,1
8.3059,10.995,1
4.1119,9.9285,1
3.4969,8.1,1
1.2045,9.9434,1
8.4473,10.745,1
-2.6047,-2.8167,1
-3.9341,-1.5962,1
-3.9064,-7.1782,1
-2.7848,-5.1521,1
-0.64373,-9.194,1
-3.7613,-5.5735,1
-3.0703,-4.3506,1
-4.5626,-3.2737,1
-5.5242,0.69877,1
-5.3272,-8.0835,1
-4.1025,-5.637,1
-2.6482,-4.5668,1
-2.3244,-4.9789,1
-1.4103,-6.6761,1
-5.1397,-2.3343,1
-1.1448,-4.9562,1
-0.78957,-4.4475,1
-2.1027,-9.0655,1
-4.2353,-1.3958,1
-2.2687,-5.3774,1
-6.6977,1.4783,1
-1.6504,-7.67,1
-1.0328,-9.1951,1
-5.0261,-2.4928,1
-0.69391,-7.9303,1
-3.7746,-4.5463,1
-3.0639,-2.5044,1
-3.2658,-5.6949,1
-1.4081,-5.9887,1
-6.1194,-4.5051,1
-4.7865,-7.0411,1
-4.1843,-2.2943,1
-5.4689,0.74698,1
-2.1466,-6.9285,1
-1.7136,-2.1446,1
-0.91433,-5.2922,1
-0.81201,-7.3864,1
0.2453,-14.585,1
-2.468,-5.2618,1
-1.6631,-6.3437,1
-3.5789,-3.3807,1
-1.9464,-7.5401,1
-3.2923,-6.6395,1
-1.5357,-6.5903,1
-4.0404,-3.4944,1
-3.2136,-4.4346,1
-4.7135,-7.1395,1
-6.9432,0.077157,1
-0.84557,-4.3019,1
-5.1382,-0.28467,1
0.65852,-8.3002,1
-0.8081,-7.3866,1
-1.4217,-6.7671,1
-5.7838,-3.1855,1
-7.7604,-0.95565,1
0.17621,-5.9802,1
-2.6839,0.66179,1
-3.8679,-3.1614,1
-0.41915,-8.9119,1
-2.3255,-7.1246,1
-3.4398,-5.6596,1
-3.0559,-6.5749,1
-3.4863,-3.9808,1
-2.4646,-9.4234,1
-2.2404,-5.0625,1
-1.5302,-6.3185,1
-0.22898,-8.3149,1
-1.569,-5.4407,1
-4.0653,-6.1653,1
-3.9422,-6.5994,1
-1.4357,-8.0576,1
-2.2014,-3.4138,1
-5.3619,-3.0201,1
-1.9526,-8.4743,1
-4.7359,-0.80207,1
-7.257,-0.41884,1
-5.7106,-0.25685,1
-4.529,-5.9293,1
-2.531,-7.0061,1
-6.9471,-2.2835,1
-3.7097,-6.1639,1
-5.0165,-3.5627,1
-3.4312,-4.872,1
-1.2109,-6.7821,1
-4.5339,-1.8178,1
-4.6805,-3.5583,1
-1.163,-4.5413,1
2.3707,-13.553,1
-4.3382,-2.8583,1
1.1716,-8.8916,1
-1.2905,-6.1017,1
-2.9156,-2.3347,1
-2.2061,-4.9082,1
-0.19148,-7.0155,1
-5.344,-0.84429,1
-5.283,-3.5326,1
-3.1728,-4.2302,1
-0.7994,-4.8125,1
-0.91042,-7.2318,1
-2.4737,-6.5376,1
-6.2851,-1.0177,1
-2.6156,-5.7091,1
-3.448,-1.5539,1
-1.3876,-8.7316,1
0.026856,-6.742,1
0.87355,-7.6964,1
-2.9519,-5.6414,1
-5.02,-4.0043,1
-4.7043,-4.1244,1
-3.4887,-1.2008,1
-1.3323,-7.2661,1
-1.9276,-4.9305,1
-0.61242,-9.1405,1
-0.84486,-9.5839,1
-1.6337,-5.8786,1
-0.87258,-3.3966,1
-4.5987,-2.2705,1
1.4379,-8.1703,1
-1.5606,-7.3279,1
-4.013,-5.1101,1
-5.4185,-2.8387,1
-2.2178,-5.9727,1
-3.4697,-3.0253,1
-2.9022,-7.866,1
-4.4811,-7.073,1
-2.8257,-3.4207,1
-6.0744,-3.3901,1
-6.0555,-0.6229,1
-0.17986,-5.7312,1
-5.6295,-1.3297,1
1.0426,-8.5379,1
-4.9459,-4.9477,1
-3.6772,-6.3865,1
-2.3382,-6.7497,1
-4.1166,-3.6791,1
-2.4685,-8.486,1
-8.5974,-1.2611,1
-5.248,-3.1958,1
-4.4476,-2.3801,1
-5.5766,2.2568,1
-1.6165,-8.7606,1
-3.3926,-3.2236,1
-0.5637,-7.1146,1
-7.9278,-3.1171,1
-5.5001,-2.64,1
-0.8625,-5.7835,1
0.53361,-11.568,1
-4.5914,-2.6443,1
-1.2642,-2.5416,1
-1.258,-5.3544,1
-2.2257,-5.0184,1
0.32105,-10.805,1
-7.235,1.1017,1
-0.46628,-5.7566,1
-5.8132,-5.1036,1
-4.0469,-2.69,1
-1.7766,-6.6343,1
-3.9424,-4.5087,1
-1.7558,-8.6272,1
-3.7905,-1.6346,1
-5.2569,-1.241,1
-1.0091,-9.4858,1
-6.451,-1.4619,1
0.4245,-10.131,1
0.25461,-10.376,1
-4.9866,-5.1737,1
-3.108,-5.6439,1
-4.6391,-2.8706,1
-2.716,-5.7349,1
-4.3459,-5.6307,1
-2.7781,-6.7765,1
-4.6746,-7.6284,1
-2.302,-5.2824,1
